Reported Date,Firm,FromGrade,ToGrade,Outlook
10/8/2012,Credit Suisse,Outperform,Neutral,down
12/6/2012,Credit Suisse,Neutral,Outperform,up
2/21/2013,B of A Securities,Underperform,Buy,up
4/14/2013,Morgan Stanley,Overweight,Equal-Weight,down
12/8/2014,B of A Securities,Neutral,Buy,up
1/8/2015,Credit Suisse,Buy,Neutral,down
3/9/2015,Pacific Crest,Sector Perform,Underperform,down
3/26/2015,Citigroup,,Neutral,down
12/1/2015,HSBC,,Buy,up
2/18/2016,Morgan Stanley,Equal-Weight,Overweight,up
7/12/2016,JP Morgan,Overweight,Neutral,down
7/12/2016,Nomura,Buy,Neutral,down
10/4/2016,Susquehanna,Negative,Neutral,up
10/14/2016,Pacific Crest,Underweight,Sector Weight,up
11/27/2017,Morgan Stanley,Overweight,Equal-Weight,down
1/16/2018,HSBC,Buy,Buy,up
1/22/2018,Goldman Sachs,Neutral,Buy,up
7/2/2018,Susquehanna,Neutral,Positive,up
11/16/2018,Morgan Stanley,Underweight,Equal-Weight,up
5/7/2019,Goldman Sachs,,Buy,init
7/19/2019,CLSA,Underperform,Buy,up
9/5/2019,Morgan Stanley,Equal-Weight,Overweight,up
9/30/2019,Goldman Sachs,,Buy,reit
12/17/2019,China Renaissance,Hold,Buy,up
7/24/2020,Macquarie,Neutral,Outperform,up
8/28/2020,New Street Research,,Buy,init
1/12/2021,Bernstein,Market Perform,Outperform,up
4/12/2021,Atlantic Equities,,Neutral,init
6/22/2021,Argus Research,,Buy,init
6/30/2021,Susquehanna,Negative,Neutral,up
7/13/2021,Needham,,Buy,init
10/11/2021,Cowen & Co.,,Market Perform,init
1/13/2022,Atlantic Equities,Neutral,Overweight,up
7/14/2022,Susquehanna,,Neutral,main
10/13/2022,Goldman Sachs,,Buy,main
11/18/2022,Erste Group,Hold,Buy,up
3/10/2023,Needham,,Buy,reit
4/17/2023,Susquehanna,Neutral,Positive,up
4/20/2023,Needham,,Buy,reit
4/24/2023,Needham,,Buy,reit
6/1/2023,Needham,,Buy,reit
6/16/2023,Susquehanna,Positive,Positive,main
7/14/2023,Susquehanna,Positive,Positive,main
7/20/2023,Needham,Buy,Buy,reit
7/21/2023,Needham,Buy,Buy,main
10/20/2023,Needham,Buy,Buy,reit
1/19/2024,Barclays,Overweight,Overweight,main
2/13/2024,Susquehanna,Positive,Positive,main
3/11/2024,Bernstein,Outperform,Outperform,main
4/2/2024,Susquehanna,Positive,Positive,main
4/2/2024,Barclays,Overweight,Overweight,main
4/10/2024,Needham,Buy,Buy,main
4/18/2024,Needham,Buy,Buy,reit
4/19/2024,Barclays,Overweight,Overweight,main
5/22/2024,Needham,Buy,Buy,reit
6/5/2024,Barclays,Overweight,Overweight,main
6/17/2024,Susquehanna,Positive,Positive,main
6/20/2024,Bernstein,Outperform,Outperform,main
7/11/2024,Susquehanna,Positive,Positive,main
7/15/2024,Needham,Buy,Buy,main
7/18/2024,Needham,Buy,Buy,reit
8/6/2024,Susquehanna,Positive,Positive,main
8/14/2024,Susquehanna,Positive,Positive,main
10/17/2024,Needham,Buy,Buy,reit
10/18/2024,Needham,Buy,Buy,main
10/23/2024,Barclays,Overweight,Overweight,main
11/18/2024,Barclays,Overweight,Overweight,main
