Date of Article,Time of Article,title,published,type,link,PTR Headline Sentiment,Flair Headline Sentiment,Flair Score
11/20/2024,17:09:19,Dollar Strengthens Amid Signs of U.S. Economic Resilience,Barrons.com,STORY,https://finance.yahoo.com/m/d62f82fd-e4c4-361e-9afb-fd2548344b90/dollar-strengthens-amid-signs.html,0.499,POSITIVE,0.984
11/06/2024,13:43:41,Dollar Poised for Biggest Gain in Eight Years After Trump Win,The Wall Street Journal,STORY,https://finance.yahoo.com/m/b518b849-e0b9-3921-8912-8c6ecd7992cd/dollar-poised-for-biggest.html,0.526,NEGATIVE,0.682
10/31/2024,07:10:22,BOJ still on track for more rate hikes after standing pat,Bloomberg,STORY,https://finance.yahoo.com/news/boj-holds-rates-unstable-politics-030051247.html,0.51,POSITIVE,0.982
10/28/2024,12:49:01,Yen Weakens After Japan Election Shock,Barrons.com,STORY,https://finance.yahoo.com/m/f760b085-746c-3a13-8c0c-7a4ff41aec04/yen-weakens-after-japan.html,0.505,NEGATIVE,1.0
10/28/2024,11:44:26,Yen Weakens After Japan's Ruling Coalition Loses Parliamentary Majority,The Wall Street Journal,STORY,https://finance.yahoo.com/m/75b9aef7-0f9e-3368-8f96-41b64d0b63a4/yen-weakens-after-japan%27s.html,0.501,NEGATIVE,1.0
10/03/2024,12:27:15,The Dollar Stages a Small Comeback,The Wall Street Journal,STORY,https://finance.yahoo.com/m/62a90a5b-c1c3-3e61-a6d4-b60350a33e10/the-dollar-stages-a-small.html,0.501,NEGATIVE,0.94
09/30/2024,09:47:33,Japanese Stocks Slide on Fears New Prime Minister Will Be Less Market-Friendly,The Wall Street Journal,STORY,https://finance.yahoo.com/m/8e618470-b0a5-35dc-986b-12ef8fd76bf2/japanese-stocks-slide-on.html,0.581,NEGATIVE,0.999
09/27/2024,21:33:39,Yen Rallies After Japan Gets New Leader Who Favors Raising Interest Rates,The Wall Street Journal,STORY,https://finance.yahoo.com/m/e032955d-96b7-347c-a9a2-a1ed15f27610/yen-rallies-after-japan-gets.html,0.55,NEGATIVE,0.997
11/22/2024,10:08:26,Sterling Faces Challenges After Mostly Weaker Data,FX Empire,STORY,https://finance.yahoo.com/news/sterling-faces-challenges-mostly-weaker-100826174.html,0.513,NEGATIVE,0.993
12/19/2024,15:33:19,Here's 'the flip side' of the US dollar's strength: Strategist,Yahoo Finance Video,VIDEO,https://finance.yahoo.com/video/heres-flip-side-us-dollars-153319836.html,0.519,NEGATIVE,0.771
