date,interest rate (percentage)
10/31/2020,-0.61
11/30/2020,-0.61
12/31/2020,-0.62
1/31/2021,-0.58
2/28/2021,-0.45
3/31/2021,-0.36
4/30/2021,-0.32
5/31/2021,-0.22
6/30/2021,-0.29
7/31/2021,-0.45
8/31/2021,-0.54
9/30/2021,-0.36
10/31/2021,-0.2
11/30/2021,-0.31
12/31/2021,-0.38
1/31/2022,-0.11
2/28/2022,0.15
3/31/2022,0.28
4/30/2022,0.75
5/31/2022,0.95
6/30/2022,1.44
7/31/2022,1.08
8/31/2022,1.03
9/30/2022,1.8
10/31/2022,2.19
11/30/2022,2.07
12/31/2022,2.09
1/31/2023,2.19
2/28/2023,2.37
3/31/2023,2.38
4/30/2023,2.36
5/31/2023,2.34
6/30/2023,2.38
7/31/2023,2.46
8/31/2023,2.55
9/30/2023,2.66
10/31/2023,2.82
11/30/2023,2.6
12/31/2023,2.1
1/31/2024,2.17
2/29/2024,2.33
3/31/2024,2.35
4/30/2024,2.45
5/31/2024,2.52
6/30/2024,2.48
7/31/2024,2.46
8/31/2024,2.21
9/30/2024,2.17
10/31/2024,2.23
11/30/2024,2.31
